fixture_id,fixture_date,vessel_id,route_id,commodity,qty_tonnes,freight_rate_usd_per_tonne,fob_price_usd_per_tonne,laycan_start,laycan_end,total_cost_usd
1,2025-05-19,22,46,corn_gulf,52445,13.44,215.9,2025-05-28,2025-06-01,12027736.3
2,2026-03-12,2,38,coal_newcastle,57766,12.73,104.8,2026-03-17,2026-03-22,6789237.98
3,2025-12-25,2,4,coal_newcastle,55623,13.16,110.9,2026-01-07,2026-01-14,6900589.38
4,2026-07-05,6,4,coal_newcastle,73281,13.59,106.0,2026-07-11,2026-07-15,8763674.79
5,2025-04-04,3,39,coal_newcastle,51062,10.52,103.4,2025-04-12,2025-04-18,5816983.04
6,2025-07-05,4,37,coal_newcastle,115880,11.54,102.6,2025-07-19,2025-07-22,13226543.2
7,2025-10-01,20,6,coal_newcastle,50770,13.26,83.1,2025-10-15,2025-10-22,4892197.2
8,2025-06-13,17,21,corn_gulf,50972,14.56,212.0,2025-06-23,2025-06-27,11548216.32
9,2026-02-07,9,26,wheat_gulf,59660,15.75,230.6,2026-02-19,2026-02-24,14697241.0
10,2025-03-05,30,49,wheat_gulf,70034,10.67,225.3,2025-03-19,2025-03-26,16525922.98
11,2025-12-01,4,5,coal_newcastle,67938,13.32,108.8,2025-12-14,2025-12-19,8296588.56
12,2026-05-25,5,23,wheat_gulf,72018,15.89,234.9,2026-06-04,2026-06-09,18061394.22
13,2026-05-01,6,29,coal_newcastle,75600,13.71,100.1,2026-05-10,2026-05-17,8604036.0
14,2025-11-26,26,42,coal_newcastle,40256,12.16,113.1,2025-12-11,2025-12-18,5042466.56
15,2025-04-23,10,43,coal_newcastle,42200,10.87,114.9,2025-05-02,2025-05-05,5307494.0
16,2026-03-16,29,7,coal_newcastle,34224,13.6,105.5,2026-03-23,2026-03-28,4076078.4
17,2025-06-16,10,39,coal_newcastle,45617,11.8,112.3,2025-06-24,2025-06-29,5661069.7
18,2025-07-07,17,32,coal_newcastle,40832,12.42,108.4,2025-07-13,2025-07-19,4933322.24
19,2025-03-23,27,18,coal_newcastle,40116,10.54,108.1,2025-04-02,2025-04-06,4759362.24
20,2025-05-22,21,17,coal_newcastle,52144,12.69,130.2,2025-06-03,2025-06-10,7450856.16
21,2025-12-13,23,28,coal_newcastle,40316,12.93,115.5,2025-12-19,2025-12-22,5177783.88
22,2026-06-06,29,45,coal_newcastle,33810,12.85,108.9,2026-06-19,2026-06-22,4116367.5
23,2025-10-07,27,24,wheat_gulf,44176,14.69,218.4,2025-10-12,2025-10-17,10296983.84
24,2026-06-04,12,51,wheat_gulf,63449,13.97,255.3,2026-06-12,2026-06-16,17084912.23
25,2025-08-29,22,7,coal_newcastle,76692,12.45,84.4,2025-09-09,2025-09-16,7427620.2
26,2026-06-17,24,10,coal_newcastle,55514,14.03,110.2,2026-06-24,2026-06-28,6896504.22
27,2025-05-31,29,27,wheat_gulf,34412,14.45,253.1,2025-06-10,2025-06-16,9206930.6
28,2026-05-17,26,43,coal_newcastle,64086,12.98,91.8,2026-05-25,2026-05-30,6714931.08
29,2025-09-12,6,51,wheat_gulf,42537,12.46,207.4,2025-09-24,2025-09-28,9352184.82
30,2025-08-27,7,53,corn_gulf,50000,12.4,224.7,2025-09-04,2025-09-08,11855000.0
31,2025-06-07,1,43,coal_newcastle,46528,11.89,119.9,2025-06-17,2025-06-22,6131925.12
32,2026-07-09,28,5,coal_newcastle,65340,13.26,108.5,2026-07-18,2026-07-23,7955798.4
33,2025-09-21,21,33,coal_newcastle,51133,12.27,79.2,2025-10-04,2025-10-09,4677135.51
34,2026-05-24,1,8,coal_newcastle,44279,14.18,99.4,2026-05-31,2026-06-07,5029208.82
35,2025-04-25,9,3,coal_newcastle,79096,12.01,115.2,2025-05-06,2025-05-11,10061802.16
36,2025-10-10,24,51,corn_gulf,73516,13.16,212.5,2025-10-16,2025-10-22,16589620.56
37,2025-06-06,29,37,coal_newcastle,33918,11.83,122.0,2025-06-11,2025-06-17,4539245.94
38,2026-06-17,1,34,coal_newcastle,53213,13.88,110.2,2026-06-30,2026-07-04,6602669.04
39,2025-04-05,12,28,coal_newcastle,61639,11.36,99.1,2025-04-19,2025-04-24,6808643.94
40,2026-03-04,22,8,coal_newcastle,59681,13.96,99.0,2026-03-17,2026-03-22,6741565.76
41,2025-09-23,22,27,corn_gulf,59376,14.61,213.8,2025-10-06,2025-10-10,13562072.16
42,2026-02-10,7,27,corn_gulf,64514,15.63,227.6,2026-02-17,2026-02-24,15691740.22
43,2025-12-06,19,20,corn_gulf,40013,15.12,209.4,2025-12-15,2025-12-20,8983718.76
44,2026-04-07,7,28,coal_newcastle,59004,13.49,114.4,2026-04-21,2026-04-26,7546021.56
45,2025-10-13,15,29,coal_newcastle,62138,12.56,80.6,2025-10-21,2025-10-28,5788776.08
46,2026-02-01,16,51,wheat_gulf,51114,13.74,239.0,2026-02-10,2026-02-17,12918552.36
47,2026-01-12,22,41,coal_newcastle,61966,12.03,115.5,2026-01-18,2026-01-22,7902523.98
48,2026-04-17,22,20,wheat_gulf,53050,16.27,239.9,2026-04-24,2026-04-27,13589818.5
49,2025-10-30,2,16,coal_newcastle,60030,12.48,92.7,2025-11-05,2025-11-11,6313955.4
50,2025-12-20,14,41,coal_newcastle,43185,12.19,113.8,2025-12-31,2026-01-06,5440878.15
51,2025-05-15,13,16,coal_newcastle,35756,12.94,123.1,2025-05-20,2025-05-23,4864246.24
52,2025-06-21,25,28,coal_newcastle,51526,12.59,103.7,2025-07-04,2025-07-10,5991958.54
53,2025-07-06,2,36,coal_newcastle,43976,12.23,107.1,2025-07-18,2025-07-22,5247656.08
54,2026-02-05,26,30,coal_newcastle,57404,13.54,111.1,2026-02-18,2026-02-25,7154834.56
55,2026-01-08,11,49,corn_gulf,73081,13.03,216.2,2026-01-19,2026-01-26,16752357.63
56,2026-03-16,15,11,coal_newcastle,68229,13.35,105.5,2026-03-28,2026-04-03,8109016.65
57,2026-05-05,9,49,wheat_gulf,58173,14.15,233.6,2026-05-18,2026-05-24,14412360.75
58,2025-07-19,21,16,coal_newcastle,47206,12.4,94.3,2025-07-25,2025-07-30,5036880.2
59,2025-08-19,8,18,coal_newcastle,81904,12.01,81.5,2025-09-01,2025-09-04,7658843.04
60,2025-06-27,5,10,coal_newcastle,90205,12.8,106.4,2025-07-04,2025-07-08,10752436.0
61,2025-08-17,3,27,corn_gulf,48890,14.05,216.7,2025-08-29,2025-09-04,11281367.5
