rate_date,index_name,index_value
2025-03-03,BDI,2042.5
2025-03-03,BCI,3271.0
2025-03-03,BPI,1577.6
2025-03-03,BSI,1128.7
2025-03-04,BDI,2100.9
2025-03-04,BCI,3369.3
2025-03-04,BPI,1625.5
2025-03-04,BSI,1099.2
2025-03-05,BDI,2166.6
2025-03-05,BCI,3369.0
2025-03-05,BPI,1660.4
2025-03-05,BSI,1086.2
2025-03-06,BDI,2153.8
2025-03-06,BCI,3425.1
2025-03-06,BPI,1683.6
2025-03-06,BSI,1103.7
2025-03-07,BDI,2108.6
2025-03-07,BCI,3502.4
2025-03-07,BPI,1704.0
2025-03-07,BSI,1146.7
2025-03-10,BDI,2199.2
2025-03-10,BCI,3741.0
2025-03-10,BPI,1747.7
2025-03-10,BSI,1111.8
2025-03-11,BDI,2229.3
2025-03-11,BCI,3895.9
2025-03-11,BPI,1818.1
2025-03-11,BSI,1126.6
2025-03-12,BDI,2191.8
2025-03-12,BCI,4106.7
2025-03-12,BPI,1881.4
2025-03-12,BSI,1119.3
2025-03-13,BDI,2279.5
2025-03-13,BCI,4133.3
2025-03-13,BPI,1906.6
2025-03-13,BSI,1174.4
2025-03-14,BDI,2229.9
2025-03-14,BCI,4089.5
2025-03-14,BPI,1961.6
2025-03-14,BSI,1193.6
2025-03-17,BDI,2264.5
2025-03-17,BCI,4150.4
2025-03-17,BPI,2018.0
2025-03-17,BSI,1227.7
2025-03-18,BDI,2336.9
2025-03-18,BCI,4376.4
2025-03-18,BPI,2061.8
2025-03-18,BSI,1295.6
2025-03-19,BDI,2291.3
2025-03-19,BCI,4503.1
2025-03-19,BPI,2027.1
2025-03-19,BSI,1293.3
2025-03-20,BDI,2299.4
2025-03-20,BCI,4493.4
2025-03-20,BPI,2070.5
2025-03-20,BSI,1359.2
2025-03-21,BDI,2335.9
2025-03-21,BCI,4487.5
2025-03-21,BPI,2097.4
2025-03-21,BSI,1404.7
2025-03-24,BDI,2353.2
2025-03-24,BCI,4690.6
2025-03-24,BPI,2042.1
2025-03-24,BSI,1404.4
2025-03-25,BDI,2314.2
2025-03-25,BCI,4703.5
2025-03-25,BPI,2076.7
2025-03-25,BSI,1413.8
2025-03-26,BDI,2277.2
2025-03-26,BCI,4524.2
2025-03-26,BPI,2101.2
2025-03-26,BSI,1420.6
2025-03-27,BDI,2297.3
2025-03-27,BCI,4347.5
2025-03-27,BPI,2022.4
2025-03-27,BSI,1396.1
2025-03-28,BDI,2309.3
2025-03-28,BCI,4486.4
2025-03-28,BPI,2046.4
2025-03-28,BSI,1417.3
2025-03-31,BDI,2521.4
2025-03-31,BCI,4394.3
2025-03-31,BPI,2056.3
2025-03-31,BSI,1404.3
2025-04-01,BDI,2559.3
2025-04-01,BCI,4458.1
2025-04-01,BPI,2012.8
2025-04-01,BSI,1409.6
2025-04-02,BDI,2544.4
