rate_date,index_name,index_value
2005-01-05,USDA_BARGE,79.81
2005-01-12,USDA_BARGE,99.08
2005-01-19,USDA_BARGE,110.39
2005-01-26,USDA_BARGE,89.29
2005-02-02,USDA_BARGE,80.42
2005-02-09,USDA_BARGE,71.25
2005-02-16,USDA_BARGE,85.01
2005-02-23,USDA_BARGE,97.85
2005-03-02,USDA_BARGE,112.84
2005-03-09,USDA_BARGE,84.09
2005-03-16,USDA_BARGE,105.19
2005-03-23,USDA_BARGE,76.45
2005-03-30,USDA_BARGE,70.64
2005-04-06,USDA_BARGE,95.71
2005-04-13,USDA_BARGE,73.7
2005-04-20,USDA_BARGE,72.78
2005-04-27,USDA_BARGE,68.19
2005-05-04,USDA_BARGE,74.92
2005-05-11,USDA_BARGE,70.03
2005-05-18,USDA_BARGE,76.45
2005-05-25,USDA_BARGE,81.03
2005-06-01,USDA_BARGE,77.37
2005-06-08,USDA_BARGE,71.25
2005-06-15,USDA_BARGE,67.58
2005-06-22,USDA_BARGE,63.91
2005-06-29,USDA_BARGE,71.86
2005-07-06,USDA_BARGE,75.84
2005-07-13,USDA_BARGE,78.89
2005-07-20,USDA_BARGE,95.1
2005-07-27,USDA_BARGE,84.4
2005-08-03,USDA_BARGE,77.37
2005-08-10,USDA_BARGE,83.48
2005-08-17,USDA_BARGE,96.94
2005-08-24,USDA_BARGE,100.3
2005-08-31,USDA_BARGE,152.9
2005-09-07,USDA_BARGE,171.24
2005-09-14,USDA_BARGE,204.88
2005-09-21,USDA_BARGE,179.5
2005-09-28,USDA_BARGE,193.57
2005-10-05,USDA_BARGE,216.5
2005-10-12,USDA_BARGE,256.87
2005-10-19,USDA_BARGE,199.99
2005-10-26,USDA_BARGE,179.19
2005-11-02,USDA_BARGE,137.61
2005-11-09,USDA_BARGE,109.78
2005-11-16,USDA_BARGE,114.67
2005-11-23,USDA_BARGE,112.23
2005-11-30,USDA_BARGE,111.61
2005-12-07,USDA_BARGE,146.17
2005-12-14,USDA_BARGE,168.8
2005-12-21,USDA_BARGE,155.34
2005-12-28,USDA_BARGE,135.47
2006-01-04,USDA_BARGE,125.07
2006-01-11,USDA_BARGE,115.9
2006-01-18,USDA_BARGE,122.32
2006-01-25,USDA_BARGE,117.12
2006-02-01,USDA_BARGE,126.29
2006-02-08,USDA_BARGE,145.25
2006-02-15,USDA_BARGE,130.57
2006-02-22,USDA_BARGE,114.67
2006-03-01,USDA_BARGE,117.73
2006-03-08,USDA_BARGE,115.59
2006-03-15,USDA_BARGE,103.05
2006-03-22,USDA_BARGE,101.83
2006-03-29,USDA_BARGE,98.47
2006-04-05,USDA_BARGE,105.5
2006-04-12,USDA_BARGE,100.3
2006-04-19,USDA_BARGE,89.9
2006-04-26,USDA_BARGE,88.07
2006-05-03,USDA_BARGE,95.41
2006-05-10,USDA_BARGE,108.86
2006-05-17,USDA_BARGE,120.18
2006-05-24,USDA_BARGE,117.42
2006-05-31,USDA_BARGE,107.33
2006-06-07,USDA_BARGE,114.67
2006-06-14,USDA_BARGE,118.34
2006-06-21,USDA_BARGE,116.81
2006-06-28,USDA_BARGE,127.21
2006-07-05,USDA_BARGE,135.47
2006-07-12,USDA_BARGE,150.76
2006-07-19,USDA_BARGE,160.85
2006-07-26,USDA_BARGE,151.67
2006-08-02,USDA_BARGE,152.28
2006-08-09,USDA_BARGE,174.91
2006-08-16,USDA_BARGE,174.0
2006-08-23,USDA_BARGE,177.05
2006-08-30,USDA_BARGE,174.0
2006-09-06,USDA_BARGE,154.12
2006-09-13,USDA_BARGE,157.18
2006-09-20,USDA_BARGE,165.13
2006-09-27,USDA_BARGE,177.67
2006-10-04,USDA_BARGE,186.53
2006-10-11,USDA_BARGE,171.24
2006-10-18,USDA_BARGE,169.41
2006-10-25,USDA_BARGE,137.61
2006-11-01,USDA_BARGE,161.46
2006-11-08,USDA_BARGE,140.36
2006-11-15,USDA_BARGE,136.08
2006-11-22,USDA_BARGE,141.89
2006-11-29,USDA_BARGE,136.08
2006-12-06,USDA_BARGE,115.28
2006-12-13,USDA_BARGE,116.81
2006-12-20,USDA_BARGE,87.15
2006-12-27,USDA_BARGE,83.79
2007-01-03,USDA_BARGE,81.95
2007-01-10,USDA_BARGE,81.95
2007-01-17,USDA_BARGE,120.18
2007-01-24,USDA_BARGE,87.46
2007-01-31,USDA_BARGE,95.41
2007-02-07,USDA_BARGE,109.47
2007-02-14,USDA_BARGE,113.14
2007-02-21,USDA_BARGE,111.31
2007-02-28,USDA_BARGE,97.85
2007-03-07,USDA_BARGE,87.15
2007-03-14,USDA_BARGE,90.82
2007-03-21,USDA_BARGE,81.95
2007-03-28,USDA_BARGE,74.61
2007-04-04,USDA_BARGE,72.47
2007-04-11,USDA_BARGE,70.64
2007-04-18,USDA_BARGE,68.5
2007-04-25,USDA_BARGE,65.13
2007-05-02,USDA_BARGE,65.44
2007-05-09,USDA_BARGE,63.91
2007-05-16,USDA_BARGE,69.41
2007-05-23,USDA_BARGE,84.09
2007-05-30,USDA_BARGE,99.69
2007-06-06,USDA_BARGE,108.25
2007-06-13,USDA_BARGE,100.91
2007-06-20,USDA_BARGE,105.5
2007-06-27,USDA_BARGE,112.84
2007-07-04,USDA_BARGE,110.09
2007-07-11,USDA_BARGE,108.86
2007-07-18,USDA_BARGE,134.24
2007-07-25,USDA_BARGE,140.05
2007-08-01,USDA_BARGE,120.79
2007-08-08,USDA_BARGE,136.38
2007-08-15,USDA_BARGE,162.38
2007-08-22,USDA_BARGE,176.75
2007-08-29,USDA_BARGE,213.44
2007-09-05,USDA_BARGE,247.69
2007-09-12,USDA_BARGE,210.39
2007-09-19,USDA_BARGE,228.12
2007-09-26,USDA_BARGE,199.68
2007-10-03,USDA_BARGE,205.19
2007-10-10,USDA_BARGE,195.71
2007-10-17,USDA_BARGE,160.85
2007-10-24,USDA_BARGE,162.99
2007-10-31,USDA_BARGE,139.44
2007-11-07,USDA_BARGE,127.82
2007-11-14,USDA_BARGE,133.94
2007-11-21,USDA_BARGE,124.15
2007-11-28,USDA_BARGE,118.34
2007-12-05,USDA_BARGE,118.34
2007-12-12,USDA_BARGE,122.32
2007-12-19,USDA_BARGE,115.28
2007-12-26,USDA_BARGE,112.23
2008-01-02,USDA_BARGE,110.09
2008-01-09,USDA_BARGE,107.33
2008-01-16,USDA_BARGE,99.38
2008-01-23,USDA_BARGE,130.88
2008-01-30,USDA_BARGE,136.38
2008-02-06,USDA_BARGE,152.28
2008-02-13,USDA_BARGE,143.72
2008-02-20,USDA_BARGE,152.9
2008-02-27,USDA_BARGE,161.76
2008-03-05,USDA_BARGE,135.77
2008-03-12,USDA_BARGE,148.31
2008-03-19,USDA_BARGE,131.49
2008-03-26,USDA_BARGE,143.42
2008-04-02,USDA_BARGE,132.71
2008-04-09,USDA_BARGE,127.21
2008-04-16,USDA_BARGE,124.76
2008-04-23,USDA_BARGE,128.74
2008-04-30,USDA_BARGE,118.65
2008-05-07,USDA_BARGE,117.12
2008-05-14,USDA_BARGE,115.28
2008-05-21,USDA_BARGE,116.51
2008-05-28,USDA_BARGE,123.85
2008-06-04,USDA_BARGE,131.8
2008-06-11,USDA_BARGE,161.15
2008-06-18,USDA_BARGE,196.93
2008-06-25,USDA_BARGE,170.63
2008-07-02,USDA_BARGE,184.7
2008-07-09,USDA_BARGE,167.57
2008-07-16,USDA_BARGE,142.5
2008-07-23,USDA_BARGE,138.52
2008-07-30,USDA_BARGE,150.45
2008-08-06,USDA_BARGE,148.31
2008-08-13,USDA_BARGE,140.66
2008-08-20,USDA_BARGE,157.48
2008-08-27,USDA_BARGE,173.08
2008-09-03,USDA_BARGE,181.95
2008-09-10,USDA_BARGE,186.23
2008-09-17,USDA_BARGE,187.14
2008-09-24,USDA_BARGE,182.25
2008-10-01,USDA_BARGE,191.12
2008-10-08,USDA_BARGE,229.34
2008-10-15,USDA_BARGE,201.82
2008-10-22,USDA_BARGE,174.61
2008-10-29,USDA_BARGE,212.22
2008-11-05,USDA_BARGE,321.08
2008-11-12,USDA_BARGE,168.19
2008-11-19,USDA_BARGE,146.47
2008-11-26,USDA_BARGE,120.79
2008-12-03,USDA_BARGE,122.32
2008-12-10,USDA_BARGE,152.9
2008-12-17,USDA_BARGE,143.72
2008-12-24,USDA_BARGE,158.71
2008-12-31,USDA_BARGE,134.85
2009-01-07,USDA_BARGE,113.45
2009-01-14,USDA_BARGE,168.19
2009-01-21,USDA_BARGE,172.16
2009-01-28,USDA_BARGE,171.24
2009-02-04,USDA_BARGE,139.44
2009-02-11,USDA_BARGE,108.86
2009-02-18,USDA_BARGE,94.8
2009-02-25,USDA_BARGE,93.27
2009-03-04,USDA_BARGE,86.23
