route_id,origin_id,port_id,distance_nm,typical_transit_days
1,1,1,5100,17.7
2,1,2,5145,17.9
3,1,3,5190,18.0
4,1,4,5235,18.2
5,1,5,5280,18.3
6,1,6,5325,18.5
7,1,7,5370,18.6
8,1,8,5415,18.8
9,1,9,5460,19.0
10,2,1,4660,16.2
11,2,2,4615,16.0
12,2,3,4570,15.9
13,2,4,4525,15.7
14,2,5,4480,15.6
15,2,6,4435,15.4
16,2,7,4390,15.2
17,2,8,4345,15.1
18,2,9,4300,14.9
19,3,1,11160,38.8
20,3,2,11115,38.6
21,3,3,11070,38.4
22,3,4,11025,38.3
23,3,5,10980,38.1
24,3,6,10935,38.0
25,3,7,10890,37.8
26,3,8,10845,37.7
27,3,9,10800,37.5
28,4,1,4460,15.5
29,4,2,4415,15.3
30,4,3,4370,15.2
31,4,4,4325,15.0
32,4,5,4280,14.9
33,4,6,4235,14.7
34,4,7,4190,14.5
35,4,8,4145,14.4
36,4,9,4100,14.2
37,5,1,2400,8.3
38,5,2,2445,8.5
39,5,3,2490,8.6
40,5,4,2535,8.8
41,5,5,2580,9.0
42,5,6,2625,9.1
43,5,7,2670,9.3
44,5,8,2715,9.4
45,5,9,2760,9.6
46,6,1,5860,20.3
47,6,2,5815,20.2
48,6,3,5770,20.0
49,6,4,5725,19.9
50,6,5,5680,19.7
51,6,6,5635,19.6
52,6,7,5590,19.4
53,6,8,5545,19.3
54,6,9,5500,19.1
