vessel_id,vessel_name,vessel_class,dwt,speed_knots,consumption_tpd_laden,consumption_tpd_ballast,open_port_id,open_date
1,MV SUPR-001,Supramax,54506,13.4,24.7,20.5,1,2026-03-15
2,MV SUPR-002,Supramax,56912,13.0,24.5,21.2,1,2025-12-28
3,MV SUPR-003,Supramax,58928,13.6,26.2,21.4,2,2026-03-02
4,MV HAND-004,Handysize,34924,12.7,18.8,18.8,2,2026-02-21
5,MV PANA-005,Panamax,68169,13.2,30.1,25.3,1,2025-09-11
6,MV PANA-006,Panamax,69090,14.4,30.3,26.8,4,2025-11-30
7,MV SUPR-007,Supramax,53150,14.1,24.2,21.1,3,2025-12-21
8,MV PANA-008,Panamax,72628,14.2,30.3,26.3,1,2026-05-12
9,MV SUPR-009,Supramax,55820,13.3,25.3,24.7,2,2025-09-06
10,MV SUPR-010,Supramax,54010,13.2,25.9,24.9,2,2025-11-29
11,MV SUPR-011,Supramax,55313,14.3,27.9,21.1,2,2026-02-14
12,MV PANA-012,Panamax,73773,12.6,33.5,26.8,3,2025-09-22
13,MV SUPR-013,Supramax,58179,13.6,28.6,22.3,2,2026-01-30
14,MV PANA-014,Panamax,73609,14.0,30.6,26.9,2,2026-03-17
15,MV PANA-015,Panamax,81171,12.7,28.3,24.5,2,2025-11-16
16,MV SUPR-016,Supramax,51040,13.6,27.0,22.3,4,2025-12-31
17,MV PANA-017,Panamax,68753,13.9,31.2,25.3,1,2026-02-12
18,MV SUPR-018,Supramax,57123,13.2,24.0,23.6,1,2025-07-29
19,MV SUPR-019,Supramax,51743,14.3,25.5,23.2,2,2025-11-15
20,MV SUPR-020,Supramax,52646,13.8,27.9,22.7,2,2025-09-08
21,MV PANA-021,Panamax,65638,12.7,30.2,28.9,3,2025-11-06
22,MV SUPR-022,Supramax,53946,14.3,28.7,20.4,2,2025-03-30
23,MV PANA-023,Panamax,69120,12.8,30.9,26.7,1,2026-07-14
24,MV PANA-024,Panamax,71940,14.4,32.5,27.4,4,2026-07-07
